project,summary,task,issue_id,repo_id,status
aws-jmeter-test-engine,Implement delete stack feature in main master script,89,732644826,298066702,New Issues
aws-jmeter-test-engine,Enable prefix in createStack python script and ensure that StartExecution.sh is based on new template,87,731993676,298066702,In Progress
aws-jmeter-test-engine,Icapmonitoring,84,730095998,298066702,Peer Review
aws-jmeter-test-engine,Create master python script to automatically create dashboard and also create stack,83,729349759,298066702,New Issues
aws-jmeter-test-engine,Test data integration,82,729070408,298066702,Peer Review
aws-jmeter-test-engine,add instructions to create new workflow,81,728974013,298066702,Peer Review
aws-jmeter-test-engine,Logic for handling malware zip files,80,728253923,298066702,Peer Review
aws-jmeter-test-engine,Create feature to delete CF stacks after test is run,77,727540727,298066702,Peer Review
aws-jmeter-test-engine,Add reverse proxy to the SharePoint site https://saaspoc1-my.sharepoint.com/,76,727521210,298066702,New Issues
aws-jmeter-test-engine,Build capability to handle zip files in Jmeter script,60,725251174,298066702,Peer Review
aws-jmeter-test-engine,Integrate Jmeter script data with test-data provided by k8-test-data-project,55,724360415,298066702,New Issues
aws-jmeter-test-engine,Modify Jmeter to send different error codes to influx DB to show on the dashboard,54,724359042,298066702,Peer Review
aws-jmeter-test-engine,convert powershell scripts to python.,46,722164676,298066702,New Issues
aws-jmeter-test-engine,Building Grafana graphs based on ICAP Server metrics and integrate those graphs to main grafana dashboard template,30,714919665,298066702,New Issues
aws-jmeter-test-engine,Optimize usage of S3 while load is running,23,713482929,298066702,New Issues
aws-jmeter-test-engine,Create heart beat load test using the defined base load script on test plan,21,712899623,298066702,New Issues
aws-jmeter-test-engine,Create stress test using the defined stress load script on test plan,20,712897639,298066702,New Issues
aws-jmeter-test-engine,Create peak load test using the defined peak load script on test plan,19,712897238,298066702,New Issues
aws-jmeter-test-engine,Create Base load test using the defined base load script on test plan,18,712896382,298066702,New Issues
aws-jmeter-test-engine,Add readme with all instructions for setup,17,712697383,298066702,New Issues
aws-jmeter-test-engine,Setup continuous integration with GitHub Actions ,14,711320761,298066702,Peer Review
aws-jmeter-test-engine,Add Load Generator creation instructions,10,711282388,298066702,Backlog
aws-jmeter-test-engine,Research on how to view JMeter log files as text in Grafana.,8,711280770,298066702,Backlog
chrome-extension,Dockerize the backend application,18,714342373,294478400,Peer Review
chrome-extension,Test chrome extension with forensic-workbench,17,711647687,294478400,New Issues
chrome-extension,"Test chrome extension with file-drop, i.e. uploading a file in file drop and then verifying that it should be captured by Chrome Extension",16,711647376,294478400,New Issues
chrome-extension,Stop exceptions to rebuild sdk while intercepting files,15,711646487,294478400,New Issues
chrome-extension,"Chrome extension currently implemented captures form-data, need to add support to capture ajax calls",14,711644965,294478400,New Issues
chrome-extension,Create Sanity Test Suite Document,11,706250964,294478400,Peer Review
chrome-extension,Host the extension on Chrome Store,10,702533019,294478400,In Progress
chrome-extension,Verify the Extension,7,700796910,294478400,In Progress
chrome-extension,Integrate with rebuild sdk,6,700796722,294478400,In Progress
chrome-extension,Intercept downloads,5,700796562,294478400,In Progress
chrome-extension,Intercept Upload,4,700796424,294478400,Peer Review
chrome-extension,Create Readme,1,700795186,294478400,Peer Review
glasswall-desktop,Test scenario creation for newly feature support.,132,733475969,304378562,In Progress
glasswall-desktop," Each calls to me made is separate execution, so that it can start multiple async call in parallel.",131,733466190,304378562,Sprint Backlog
glasswall-desktop,To add new tab in left panel for Logs Console,130,733465115,304378562,Sprint Backlog
glasswall-desktop,Configuration page to be introduced where you can do the docker setup,129,733464150,304378562,Sprint Backlog
glasswall-desktop,To restrict user to access Local Docker page incase health fails,128,733463237,304378562,Sprint Backlog
glasswall-desktop,"On hitting the docker rebuild page, 2 health checks calls to be made.",127,733460510,304378562,Sprint Backlog
glasswall-desktop,Creating Sub-title for video v0.1.4,125,733136634,304378562,Review/QA
glasswall-desktop,To push separate metrics for cloud rebuild from glasswall desktop to GA ,124,732930838,304378562,In Progress
glasswall-desktop,To add Developer document pages on the Web Portal for developer community supporting different platform.,117,731156325,304378562,New Issues
glasswall-desktop,Breaking ReadMe in separate pages,116,731155881,304378562,New Issues
glasswall-desktop, Create Document of the workflows > Technical briefing for Dinis to validate and architecture how is working review,115,731155369,304378562,New Issues
glasswall-desktop,To create more secure version of rebuild app api key.,114,731154893,304378562,New Issues
glasswall-desktop,To provide Analysis report with the visualization team for the Dashboard creation,113,731154113,304378562,New Issues
glasswall-desktop,Rebuild App: Signed build needs to be created for rebuild desktop app. (MAC),110,731139388,304378562,Sprint Backlog
glasswall-desktop,Google Analytics: Track event of installer download per Operating System (Windows/MAC/Linux),91,727438525,304378562,Review/QA
glasswall-desktop,On playing video on web portal user has click twice to play that.,89,726525676,304378562,Sprint Backlog
glasswall-desktop,Intermittent: At times the upgrade of new desktop app version fails and downloading of new version stops in middle,84,726190681,304378562,Product Backlog
glasswall-desktop,"On clicking No, thanks the downloading of updated installer keeps on running in background",83,726175136,304378562,Product Backlog
glasswall-desktop,UI issue ,78,725600616,304378562,Review/QA
glasswall-desktop,To kick start on adding unit testing using spectrone,76,725186430,304378562,Product Backlog
glasswall-desktop,"On clicking No Thanks on upgrade pop-up, the installation of the upgraded version is not stopped",75,725179942,304378562,Product Backlog
glasswall-desktop,Some files not processing as expected,65,724704371,304378562,Product Backlog
glasswall-desktop,Analysis report horizontal scrolling,64,724695088,304378562,Product Backlog
glasswall-desktop,Useability issues,63,724688979,304378562,Product Backlog
glasswall-desktop,Rebuild App: While file processing is in-progress user should be allowed to click on link,62,724637773,304378562,Product Backlog
glasswall-desktop,"EULA : User is not displayed the EULA, Terms & Condition page while installer is executed",57,724607135,304378562,Product Backlog
glasswall-desktop,Rebuild App: On running the installer again the processed folder is deleted,56,724605996,304378562,Product Backlog
glasswall-desktop,"Rebuild App: On running the installer again, user is not asked that is already installed.",55,724604789,304378562,Product Backlog
glasswall-desktop,Add spectron test framework and add tests for Rebuild Page,53,724545542,304378562,In Progress
glasswall-desktop,Rebuild App: Signed build needs to be created for rebuild desktop app. (Windows),49,724515211,304378562,Sprint Backlog
gp-b-docker-v01-sharepoint,Protection of https://glasswallk8.sharepoint.com/sites/GW-demo-sharepoint,1,731635853,308076754,
gp-emma-dataport-website,Dataflow/sequence diagrams for emma-dataport,7,733059989,306445486,New Issues
gp-emma-dataport-website,Architecture diagrams in plantum,6,733059539,306445486,New Issues
gp-emma-dataport-website,Readme improvements,5,732979415,306445486,Sprint Backlog
gp-emma-dataport-website,Replicate initial attempt,4,730302232,306445486,In Progress
gp-emma-dataport-website,Production installation,3,730300021,306445486,Product Backlog
gp-emma-dataport-website,dataport.emma.msrb.org initial attempt,1,728264361,306445486,In Progress
